what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984351564
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419984354716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984355161
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419984355245
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419984355339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984356043
error,log,,,"Problems encountered during text search.",1419984375778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984382347
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419984383551
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1419984405244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419984413115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984416515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419984421178
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419984422750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984423147
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419984423218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984423780
error,log,,,"Problems encountered during text search.",1419984439701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984457053
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419984533872
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419984556071
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419984556404
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419984556823
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419984557304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419984566345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419984574213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984579632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419984583055
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419984584859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419984585273
